FullName,ProductName,Type
CALGONIT JSP (1200 KG.),JSP,กรด
CALGONIT SN556 (1200 KG.),SN 556,กรด
"DELVAK SN557  (1,200 KG.)",SN 557,กรด
"EXPRESS CIP A10 (1,200 KG.)",CIP A 10,กรด
CALGONIT DS 418 (500 KG.),DS 418,กลาง
CALGONIT DS614(1000KG),DS 614,กลาง
CAPITOL  (1000 KG.),CAPITOL,กลาง
"CAPTAIN (1,000 Kg.)",CAPTAIN,กลาง
"EXPRESS D (1,000 KG)",EXPRESS D,กลาง
EXPRESS DS 871 (500 kg.),DS 871,กลาง
"EXPRESS LUB77  (1,000 KG.)",LUB 77,กลาง
FRESH 90 (1000 KG.),FRESH 90,กลาง
LEMON PLUS,LEMON PLUS,กลาง
"EXPRESS DS 871 (1,000 kg.)",DS 871,กลาง
RINSE KLEAR (KG.),RINSE KLEAR,กลาง
ROSE  / HAPPY SOFT,ROSE/ HAPPY SOFT,กลาง
SHINING / SKY,SHINING/ SKY,กลาง
CALGONIT NF424 (1000KG),NF 424,ด่าง
CALGONIT NF489 (1000 kg.),NF 489,ด่าง
CALGONIT NF5401 (1,200 KG.),NF 5401,ด่าง
CALGONIT NN467 (500 KG, 1200 KG.),NN 467,ด่าง
CALGONIT DS418 (1000 KG.),DS 418,กลาง
CALGONIT NN5454 (1200 KG),NN 5454,ด่าง
EXPRESS 1120 (1000 KG.),EXPRESS 1120,ด่าง
EXPRESS ALC FOAM (1000 KG.),ALC FOAM,ด่าง
EXPRESS CF (1000 kg),EXPRESS CF,ด่าง
EXPRESS CIP 65  (1200  KG.),CIP 65,ด่าง
EXPRESS SM 013 (1000 KG.),SM 013,ด่าง
HI ALK NN465 (1200 KG.),NN 465,ด่าง
WARE KLEEN (KG.),WARE KLEEN,ด่าง
MD,MD,ด่าง
SOFFY,SOFFY,กลาง
MOVER,MOVER,กลาง
FABRIC,FABRIC,กลาง
HAPPY WASH,HAPPY WASH,กลาง
WHITE SOFT,WHITE SOFT,กลาง
CALGONIT DS 687 (500 KG.),DS 687,กลาง
CALGONIT AF123 (1000 KG.),AF 123,ด่าง
RAPID FOAM,RAPID FOAM,ด่าง

